Pegolo, Sassuolo, portiere, 2
Pellegrini, Roma, centrocampista, 24
Pellegrini Lu, Genoa, difensore, 9
Peluso, Sassuolo, difensore, 3
Pereira A, Lazio, centrocampista, 13
Pereira P, Crotone, difensore, 7
Pereiro G, Cagliari, attaccante, 11
Pereyra, Udinese, centrocampista, 17
Perez C, Roma, attaccante, 15
Perin, Genoa, portiere, 13
Perisic, Inter, attaccante, 15
Pessina, Atalanta, centrocampista, 17
Petagna, Napoli, attaccante, 20
Petriccione, Crotone, centrocampista, 5
Pezzella, Parma, difensore, 7
Pezzella G, Fiorentina, difensore, 14
Piccini, Atalanta, difensore, 7
Piccinini, Sassuolo, difensore, 1
Piccoli, Spezia, attaccante, 7
Pinamonti, Inter, attaccante, 12
Pinsoglio, Juventus, portiere, 1
Pisacane, Cagliari, difensore, 7
Pjaca, Genoa, attaccante, 13
Pobega, Spezia, centrocampista, 13
Poli, Bologna, centrocampista, 11
Politano, Napoli, centrocampista, 19
Portanova, Juventus, centrocampista, 2
Prodl, Udinese, difensore, 4
Proto, Lazio, portiere, 1
Provedel, Spezia, portiere, 9
Pulgar, Fiorentina, centrocampista, 17
Pussetto, Udinese, attaccante, 17
Quagliarella, Sampdoria, attaccante, 28
R Vieira, Verona, centrocampista, 7
Rabbi, Bologna, attaccante, 1
Rabiot, Juventus, centrocampista, 14
Radovanovic, Genoa, centrocampista, 7
Radu, Lazio, difensore, 9
Radu I, Inter, portiere, 1
Rafael, Spezia, portiere, 1
Ramirez, Sampdoria, centrocampista, 14
Ramos J, Spezia, difensore, 2
Ramsey, Juventus, centrocampista, 18
Ranocchia, Inter, difensore, 7
Raspadori, Sassuolo, attaccante, 12
Ravaglia, Sampdoria, portiere, 1
Ravaglia F, Bologna, portiere, 1
Rebic, Milan, attaccante, 27
Reca, Crotone, difensore, 11
Regini, Sampdoria, difensore, 3
Reina, Lazio, portiere, 9
Ribery, Fiorentina, attaccante, 22
Ricci G, Parma, difensore, 2
Ricci M, Spezia, centrocampista, 10
Rinaldi, Parma, portiere, 1
Rincon, Torino, centrocampista, 12
Rispoli, Crotone, difensore, 7
Riviere, Crotone, attaccante, 13
Rocha, Sampdoria, difensore, 1
Rodriguez R, Torino, difensore, 9
Rog, Cagliari, centrocampista, 13
Rogerio, Sassuolo, difensore, 8
Rojas, Crotone, centrocampista, 1
Romagna, Sassuolo, difensore, 5
Romagnoli A, Milan, difensore, 16
Romero A, Crotone, centrocampista, 3
Romero C, Atalanta, difensore, 10
Rosati, Torino, portiere, 1
Rossi F, Atalanta, portiere, 1
Rovella, Genoa, centrocampista, 3
Rrahmani, Napoli, difensore, 8
Ruegg, Verona, difensore, 7
Ruggeri, Atalanta, difensore, 2
Saelemaekers, Milan, centrocampista, 18
Sala, Spezia, difensore, 4
Salcedo, Verona, attaccante, 10
Samir, Udinese, difensore, 11
Sanchez, Inter, attaccante, 19
Sansone N, Bologna, attaccante, 11
Santander, Bologna, attaccante, 10
Santon, Roma, difensore, 5
Saponara, Spezia, centrocampista, 12
Sau, Benevento, attaccante, 18
Scamacca, Genoa, attaccante, 14
Schiappacasse, Sassuolo, attaccante, 4
Schiattarella, Benevento, centrocampista, 11
Schouten, Bologna, centrocampista, 9
Scuffet, Udinese, portiere, 1
Segre, Torino, centrocampista, 7
Sena, Spezia, centrocampista, 4
Sensi, Inter, centrocampista, 14
Sepe, Parma, portiere, 12
Shomurodov, Genoa, attaccante, 17
Siligardi, Crotone, attaccante, 8
Silva A, Sampdoria, centrocampista, 10
Silvestri, Verona, portiere, 20
Simeone, Cagliari, attaccante, 23
Simonetti, Parma, centrocampista, 1
Simy, Crotone, attaccante, 17
Singo, Torino, difensore, 9
Sirigu, Torino, portiere, 13
Skorupski, Bologna, portiere, 11
Skov Olsen, Bologna, attaccante, 11
Skriniar, Inter, difensore, 20
Smalling, Roma, difensore, 18
Sohm, Parma, centrocampista, 4
Soriano, Bologna, centrocampista, 27
Sottil, Cagliari, centrocampista, 14
Soumaoro, Bologna, difensore, 7
Spinazzola, Roma, difensore, 17
Sportiello, Atalanta, portiere, 5
Sprocati, Parma, attaccante, 7
Strakosha, Lazio, portiere, 17
Strootman, Genoa, centrocampista, 12
Sturaro, Genoa, centrocampista, 11
Sutalo, Atalanta, difensore, 5
Svanberg, Bologna, centrocampista, 11
Szczesny, Juventus, portiere, 22
Tameze, Verona, centrocampista, 13
Tatarusanu, Milan, portiere, 1
Tello A, Benevento, centrocampista, 5
Terracciano, Fiorentina, portiere, 1
Terzi, Spezia, difensore, 8
Thorsby, Sampdoria, centrocampista, 13
Toljan, Sassuolo, difensore, 7
Toloi, Atalanta, difensore, 18
Tomiyasu, Bologna, difensore, 15
Tonali, Milan, centrocampista, 11
Tonelli, Sampdoria, difensore, 5
Torregrossa, Sampdoria, attaccante, 13
Tramoni, Cagliari, centrocampista, 1
Traore, Sassuolo, centrocampista, 17
Tripaldelli, Cagliari, difensore, 3
Tuia, Benevento, difensore, 8
Turati, Sassuolo, portiere, 1
Udogie, Verona, difensore, 1
Udogie, Verona, difensore, 1
Ujkani, Torino, portiere, 1
Valenti, Parma, difensore, 7
Vavro, Lazio, difensore, 5
Vecino, Inter, centrocampista, 11
Venuti, Fiorentina, difensore, 6
Verde, Spezia, attaccante, 13
Verdi, Torino, centrocampista, 16
Veretout, Roma, centrocampista, 30
Vergani, Bologna, attaccante, 1
Verre, Sampdoria, centrocampista, 16
Vicario, Cagliari, portiere, 1
Vidal, Inter, centrocampista, 21
Vignali, Spezia, difensore, 4
Vignato, Bologna, attaccante, 13
Villar, Roma, centrocampista, 8
Viola, Benevento, centrocampista, 9
Vlahovic, Fiorentina, attaccante, 22
Vojvoda, Torino, difensore, 6
Volta, Benevento, difensore, 4
Vrioni, Juventus, attaccante, 1
Vulic, Crotone, centrocampista, 9
Walace, Udinese, centrocampista, 7
Walukiewicz, Cagliari, difensore, 8
Wesley, Juventus, difensore, 1
Yeboah Ankrah, Verona, attaccante, 1
Yoshida, Sampdoria, difensore, 11
